Disease,Median,Mean,Stdev,Fraction_Early,Period,Score_Imp,Patient_Count,True_pos,True_neg,Strict,Spec,Method
hereditary_hemorrhagic_telangiectasia,-2953.0,-3908.823529411765,2353.9884301779744,0.85,Pre_diag,0.0196950249373912,1237,825,412,True,0.99,xgb
hereditary_hemorrhagic_telangiectasia,-2320.5,-2283.5,1678.4737926840778,0.6,Pre_Mention,0.0196950249373912,1237,825,412,True,0.99,xgb
hereditary_hemorrhagic_telangiectasia,-5014.0,-5014.0,7088.038374613952,0.1,Pre_Lab,0.0196950249373912,1237,825,412,True,0.99,xgb
noonan_syndrome,-2591.0,-2595.3846153846152,1868.0700173557707,0.8666666666666667,Pre_diag,0.0782678127288818,642,230,412,True,0.99,xgb
noonan_syndrome,-1531.0,-1821.7777777777776,1746.2813188156267,0.6,Pre_Mention,0.0782678127288818,642,230,412,True,0.99,xgb
noonan_syndrome,-279.5,-875.5,1390.4480093360796,0.2666666666666666,Pre_Lab,0.0782678127288818,642,230,412,True,0.99,xgb
charcot-marie-tooth_disease,-1679.0,-1882.48,1597.6782404476817,0.4310344827586206,Pre_diag,0.1776456832885742,1907,1495,412,True,0.99,xgb
charcot-marie-tooth_disease,-593.5,-1194.5,1408.7005004613293,0.1034482758620689,Pre_Mention,0.1776456832885742,1907,1495,412,True,0.99,xgb
charcot-marie-tooth_disease,-788.0,-1015.8,904.6774010662584,0.0862068965517241,Pre_Lab,0.1776456832885742,1907,1495,412,True,0.99,xgb
wilson_disease,-708.5,-1227.5,1332.9667185369906,0.3243243243243243,Pre_diag,0.1148411259055137,1150,738,412,True,0.99,xgb
wilson_disease,-471.0,-1119.2727272727273,1310.6409188568082,0.2972972972972973,Pre_Mention,0.1148411259055137,1150,738,412,True,0.99,xgb
wilson_disease,-481.0,-1001.0,1352.030430764887,0.2162162162162162,Pre_Lab,0.1148411259055137,1150,738,412,True,0.99,xgb
neurofibromatosis_type_1,-2457.0,-3086.6315789473683,2509.448485450104,0.8769230769230769,Pre_diag,0.0,1756,1344,412,True,0.99,xgb
neurofibromatosis_type_1,-1067.0,-1788.857142857143,1895.14978519729,0.7538461538461538,Pre_Mention,0.0,1756,1344,412,True,0.99,xgb
neurofibromatosis_type_1,-4132.0,-4258.0,2836.492630775628,0.1538461538461538,Pre_Lab,0.0,1756,1344,412,True,0.99,xgb
fabry_disease,-1921.5,-2534.555555555556,2503.1802412653865,1.0,Pre_diag,0.0063219824805855,801,389,412,True,0.99,xgb
fabry_disease,-1408.0,-2294.1875,2632.460147688216,0.8888888888888888,Pre_Mention,0.0063219824805855,801,389,412,True,0.99,xgb
fabry_disease,-1215.5,-1601.8333333333333,1456.9615529130022,0.3333333333333333,Pre_Lab,0.0063219824805855,801,389,412,True,0.99,xgb
hereditary_angioedema_type_1_2,-2610.5,-2908.375,2522.9548252000072,0.9411764705882352,Pre_diag,0.024830313399434,1169,757,412,True,0.99,xgb
hereditary_angioedema_type_1_2,-2755.0,-3092.266666666667,2401.7765587363115,0.8823529411764706,Pre_Mention,0.024830313399434,1169,757,412,True,0.99,xgb
hereditary_angioedema_type_1_2,-1390.0,-1733.2,1607.182690300017,0.2941176470588235,Pre_Lab,0.024830313399434,1169,757,412,True,0.99,xgb
hereditary_hemorrhagic_telangiectasia,-2953.0,-3948.176470588235,2380.974701548037,0.85,Pre_diag,0.0191246606409549,1237,825,412,False,0.99,xgb
hereditary_hemorrhagic_telangiectasia,-2339.0,-2339.25,1658.0997406670083,0.6,Pre_Mention,0.0191246606409549,1237,825,412,False,0.99,xgb
hereditary_hemorrhagic_telangiectasia,-5014.0,-5014.0,7088.038374613952,0.1,Pre_Lab,0.0191246606409549,1237,825,412,False,0.99,xgb
noonan_syndrome,-2591.0,-2718.538461538461,1853.0932075579565,0.8666666666666667,Pre_diag,0.0938447117805481,642,230,412,False,0.99,xgb
noonan_syndrome,-1305.5,-1799.4,1735.3204122966265,0.6666666666666666,Pre_Mention,0.0938447117805481,642,230,412,False,0.99,xgb
noonan_syndrome,-279.5,-875.5,1390.4480093360796,0.2666666666666666,Pre_Lab,0.0938447117805481,642,230,412,False,0.99,xgb
charcot-marie-tooth_disease,-1870.5,-2392.4,2044.8913341351547,0.3448275862068966,Pre_diag,0.1900957077741623,1907,1495,412,False,0.99,xgb
charcot-marie-tooth_disease,-1945.0,-2638.5,1309.3642350392804,0.1034482758620689,Pre_Mention,0.1900957077741623,1907,1495,412,False,0.99,xgb
charcot-marie-tooth_disease,-1767.5,-1689.8333333333333,895.4863296927914,0.1034482758620689,Pre_Lab,0.1900957077741623,1907,1495,412,False,0.99,xgb
wilson_disease,-509.0,-509.0,667.5088014401009,0.054054054054054,Pre_diag,0.1055350080132484,1150,738,412,False,0.99,xgb
wilson_disease,-42.0,-42.0,,0.027027027027027,Pre_Mention,0.1055350080132484,1150,738,412,False,0.99,xgb
wilson_disease,-31.5,-113.33333333333331,214.90152783697624,0.1621621621621621,Pre_Lab,0.1055350080132484,1150,738,412,False,0.99,xgb
neurofibromatosis_type_1,-2489.0,-3046.4310344827586,2516.9017232768538,0.8923076923076924,Pre_diag,0.0,1756,1344,412,False,0.99,xgb
neurofibromatosis_type_1,-928.5,-1768.18,1898.522698396448,0.7692307692307693,Pre_Mention,0.0,1756,1344,412,False,0.99,xgb
neurofibromatosis_type_1,-4132.0,-4258.0,2836.492630775628,0.1538461538461538,Pre_Lab,0.0,1756,1344,412,False,0.99,xgb
fabry_disease,-2379.0,-2835.0,2510.3775014925545,0.8888888888888888,Pre_diag,0.0033035199157893,801,389,412,False,0.99,xgb
fabry_disease,-1595.0,-2599.714285714286,2694.7794951484484,0.7777777777777778,Pre_Mention,0.0033035199157893,801,389,412,False,0.99,xgb
fabry_disease,-1216.5,-1602.1666666666667,1456.7506878895465,0.3333333333333333,Pre_Lab,0.0033035199157893,801,389,412,False,0.99,xgb
hereditary_angioedema_type_1_2,-2468.0,-2693.058823529412,2479.186345118803,1.0,Pre_diag,0.0221338625997304,1169,757,412,False,0.99,xgb
hereditary_angioedema_type_1_2,-2611.5,-2852.0625,2378.5379674287315,0.9411764705882352,Pre_Mention,0.0221338625997304,1169,757,412,False,0.99,xgb
hereditary_angioedema_type_1_2,-1390.0,-1733.2,1607.1826903000167,0.2941176470588235,Pre_Lab,0.0221338625997304,1169,757,412,False,0.99,xgb
hereditary_hemorrhagic_telangiectasia,-2953.0,-3948.176470588235,2380.974701548037,0.85,Pre_diag,0.0191246606409549,1237,825,412,False,0.95,xgb
hereditary_hemorrhagic_telangiectasia,-2339.0,-2339.25,1658.099740667008,0.6,Pre_Mention,0.0191246606409549,1237,825,412,False,0.95,xgb
hereditary_hemorrhagic_telangiectasia,-5014.0,-5014.0,7088.038374613952,0.1,Pre_Lab,0.0191246606409549,1237,825,412,False,0.95,xgb
noonan_syndrome,-2591.0,-2718.538461538461,1853.0932075579567,0.8666666666666667,Pre_diag,0.0938447117805481,642,230,412,False,0.95,xgb
noonan_syndrome,-1305.5,-1799.4,1735.3204122966265,0.6666666666666666,Pre_Mention,0.0938447117805481,642,230,412,False,0.95,xgb
noonan_syndrome,-279.5,-875.5,1390.4480093360796,0.2666666666666666,Pre_Lab,0.0938447117805481,642,230,412,False,0.95,xgb
charcot-marie-tooth_disease,-1870.5,-2392.4,2044.8913341351547,0.3448275862068966,Pre_diag,0.1900957077741623,1907,1495,412,False,0.95,xgb
charcot-marie-tooth_disease,-1945.0,-2638.5,1309.3642350392804,0.1034482758620689,Pre_Mention,0.1900957077741623,1907,1495,412,False,0.95,xgb
charcot-marie-tooth_disease,-1767.5,-1689.8333333333333,895.4863296927914,0.1034482758620689,Pre_Lab,0.1900957077741623,1907,1495,412,False,0.95,xgb
wilson_disease,-509.0,-509.0,667.5088014401009,0.054054054054054,Pre_diag,0.1055350080132484,1150,738,412,False,0.95,xgb
wilson_disease,-42.0,-42.0,,0.027027027027027,Pre_Mention,0.1055350080132484,1150,738,412,False,0.95,xgb
wilson_disease,-31.5,-180.83333333333331,379.3892020955086,0.1621621621621621,Pre_Lab,0.1055350080132484,1150,738,412,False,0.95,xgb
neurofibromatosis_type_1,-2489.0,-3135.7241379310344,2510.4207433276893,0.8923076923076924,Pre_diag,0.0,1756,1344,412,False,0.95,xgb
neurofibromatosis_type_1,-1104.0,-1835.058823529412,1916.5347000434372,0.7846153846153846,Pre_Mention,0.0,1756,1344,412,False,0.95,xgb
neurofibromatosis_type_1,-4132.0,-4289.4,2801.0725406132874,0.1538461538461538,Pre_Lab,0.0,1756,1344,412,False,0.95,xgb
fabry_disease,-2379.0,-2835.0,2510.377501492554,0.8888888888888888,Pre_diag,0.0033035199157893,801,389,412,False,0.95,xgb
